comment,score,hospital,en
วรัชญา คล้ายสีแก้ว พนักงานชื่อนี้แย่มากๆ,2,phyathai-1,The brush-like color glass vacuum staff is very bad name.
พยาบาลให้คำแนะนำดีมากค่ะ,5,phyathai-1,Nurses advise very good.
แจ้งเรื่องแพ้ยาไปประมาณ 3 รอบ สรุปจ่ายยาที่แพ้มา ต้องเริ่มใหม่หมดตั้งแต่โทรหาหมอ ยกเลิกบิล แล้วจ่ายเงินใหม่ นั่งรอไปอีกกกกกก อันตราย และเสียเวลามาก,1,phyathai-1,Notification of intolerance to about 3 times by dispensing losing. Since you need to start calling the doctor aborted bill and pay new. Waiting to be a pretty dangerous and time-consuming.
บริการแย่มาก พยาบาลเอาใจแต่คนไข้ต่างชาติ พอคอมเพลนทีนึงก็ได้บริการที่ดีทีนึง มาตรฐานการบริการคืออะไรครับ?,1,phyathai-1,"Nurses feel terrible service, but foreign patients. Complex enough size so it was a good service. The standard of service is what?"
โรงบาลเฮงซวย พึ่งไปมาเลยครับ ท่านไหนคิดจะไปหาหมอที่นี่คิดใหม่ได้เลยครับ ที่อื่นเค้ามีแต่ปรับปรุงเพิ่ม ที่นี่นับวันถอยหลังลง....,1,phyathai-1,"Hospital blasted just to come here. Where do you go to the doctor here, rethink it. But elsewhere he has improved. This count down backwards ...."
ตรวจสุขภาพเสร็จพบหมอเพื่อฟังผลการตรวจสอบช้ามาก,3,phyathai-1,Health check done to find a doctor to check the results very soon.
ความประทับใจและใว้วางใจของพญาไท1ครับยอดเยี่ยมจริงๆครับ,2,phyathai-1,"The impression of confidence and trust Phyathai 1's great, really."
บริการดีมากๆ ทั้งคุณหมอ พยาบาล เจ้าหน้าที่ทุกระดับ ให้ 5 ดาวเต็มๆเลยครับ,5,phyathai-1,"Service is very good, both doctors, nursing staff at all levels to make it a full 5 stars."
การเงินช้ามากครับ รอนานมากๆๆๆๆๆๆๆ เรียกอยู่สองช่อง คนนั่งรอเต็มทุกเก้าอี้,1,phyathai-1,Financial slow too Wait so long any more. The two channels People filled every chair waiting
ยอดเยี่ยมมากครับ,1,phyathai-1,Great post
1.อยากให้คุณหมอ รักษาเวลา นัดกับคนไข้นะคะ บางคนั้งต้องไปธุระปะปังต่อทำให้ต้องเลื่อนนัดอื่นออกไปเป็นทอดๆเลยค่า ล่าสุดเมื่อวาน รอ 2 ชม. นะคะ 2.ตรงจุดคัดกรอง สอบประวัติ วัดความดัน ชั่งน้ำหนัก คนไข้ ดูวุ่นวายมากเลยค่า คนมาก่อนมาหลังมั่วไปหมดเลยค่า พยาบาลกับจนท.ชุดสีน้ำตาลชอบเหวี่ยงใส่กันเองประจำเลยค่ะ แทนที่จะร่วมมือช่วยกันบริการคนไข้นะคะ,3,phyathai-1,1. You want the doctor treating the patient for an appointment with me. Some seats have engaged Papag to make another appointment to drop off a fry up yet. Last wait 2 hrs. 2. spot screening background checks blood pressure patients weighing more chaotic it is. The first came after the rally to me. Until the nurse. Brown liked to hurl themselves of it. Instead Working together to serve patients well.
เจ้าหน้าที่ทุกคนบริการและเอาใจใส่ผู้ป่วยดีครับ อันนี้ขอชมเชย แต่ค่าอาหารสำหรับผู้ป่วยแพงเกินไปครับ เช่น โจ๊กไก่1ชาม มีไก่5-6ชิ้นเล็กๆ ไข่1ฟอง น้ำส้ม1กล่อง 250บาท ผมคิดว่ามันแพงเกินไปครับ ขอบคุณครับ,4,phyathai-1,"All staff and patients feel good. I commend But the food here is too expensive for the patient, such as chicken porridge 1 bowl of chicken with orange juice 5-6 small pieces 1 egg 1 Box 250 baht, I think it's too expensive, thank you."
พนักงานทุกคนดูแลลูกค้ากี คุณหมอก้อเก่งค่ะ,5,phyathai-1,All employees take care of customers Milwaukee You just do it
เจาะเลือดมือเบามากค่ะ ไม่เจ็บเลย,5,phyathai-1,Blood does not hurt me very gently.
บุคลากรน่ารักทุกคนเบยย ^^,5,phyathai-1,Personnel cute ^^ everybody's Bay.
รู้สึกแย่มากที่ต้องรอนานจนเกินไปหนำซ้ำเพื่อนที่มาทีหลังยังได้ตรวจก่อนทั้งๆที่นั่งรอมาชั่วโมงกว่า อยากให้ช่วยปรับปรุงด้วยค่ะ,1,phyathai-1,"Feel terrible having to wait too long friends, indulging in a subsequent examination before I was waiting for over an hour. I want to improve my"
รักษาดีมากคะ,5,phyathai-1,Maintain very good
ชอบค่ะ คุณหมอดูแลดีมาก...ค่ะ ค่ารักสาก้อโอเคร ค่ะ เวลาไม่สบายก้อมาแต่โรงบาลนี้ค่ะ,5,phyathai-1,"You do not care ... it is great. It's okay for the love of it, but I do not feel comfortable at the hospital now."
ค่าทำแผล แพงเกิน ค่ารักษา เป็นหวัด ไม่หายไปใหม่ตอนยาหมด เจออีกหมอบอกเป็นไซนัส,2,phyathai-1,The incision is made over the treatment of a cold is not lost when a new drug out. Another doctor said it was a sinus
บริการดีมาก รักษาอาหารเป็นพิษ 24 ชม เรียกได้ตลอด สะอาด ปลอดภัย พยาบาลน่ารัก มีแม่บ้านคอยซื้อของ 7-11 ให้กินอีกด้วน ประทับใจมาก พักตึก1 ห้องพักดีเยี่ยม,5,phyathai-1,The service is great food poisoning 24 hours to clean all the nurses were lovely maid of 7-11 to take another cut at a very impressive building 1 rooms excellent.
บริการดีตั้งแต่ลงรถ จนตรวจเสร็จ ขึ้นรถกลับบ้าน ตั้งแต่คุณอามารักษาโรคไตและก็ยังรักษา จนเราก็ย้ายมาตรวจที่นี้ด้วย,5,phyathai-1,Good service from the bus until the bus home inspection done. Since you also had kidney disease and treatment. Until we moved to this review.
เป็นบ้านที่ดีที่สุด,5,phyathai-1,It is home to the best
"บริการดีมาก(เจ้าหน้าที่ทุกท่าน และคุณแม่บ้าน) แต่หมอขึ้นมาตรวจช้าไปค่ะ วันแรกมาตรวจตอนเที่ยง วันที่2ล่อเอาบ่าย2ครึ่ง นี่ขนาดเป็นคนไข้หมอมา10กว่าปีนะคะ ค่ายาค่าโรงบาลแพงไปค่ะ เข้าวันที่7/9เวลา4ทุ่ม ขึ้นห้องพัก5ทุ่มเป๊ะ ออกวันที่9เวลา4โมงเย็น ยอด35,565บาท คราวหน้าอยากให้โรงบาลมีส่วนลดให้กับคนไข้หน่อย เพราะคนไข้อายุ80ปีแล้ว ใช้บริการที่นี่มา10กว่าปีแล้ว",4,phyathai-1,"Very good service (all officers. And your maid), but it was slow to detect it. Check out the first day at noon Day 2 afternoon took two mules and a half. This patient was a doctor for 10 years here. Hospital medicine is expensive to me. 7/9 day at 4 pm. More precisely Rooms 5 pm 9 out of 35 565 baht peak at 4 pm next to the hospital to offer discounts to some patients. For patients aged 80 years Service here was 10 years ago."
พยาบาลและพนักงานน่ารักมาก. ยิ้มแย้ม เอาใจใส่ดีมากค่ะ มาครั้งแรกประทับใจ ไกลบ้านไปหน่อย,5,phyathai-1,Hospital staff and very cute. There is very smiling First impression Far too
ตอนที่อยู่ในโรงพยาบาลในแผนกเด็กทั้งหมอทั้งพยาบาลและทุกแผนกดูแลเป็นอย่างดีค่ะขอบคุณทุกๆๆคนน่ะค่ะ,5,phyathai-1,"While in the hospital, in front of children as well as doctors, nurses and all care department is very good thanks to all the people."
ดีที่สุด,5,phyathai-1,best
ต้อนรับดีสะอาดสิ่งอำนวยความสะดวกครบครันแต่ราคาแพงไปหน่อย,4,phyathai-1,"What a nice welcome, clean facilities, but a little expensive."
ก็รักษาดีแต่ราคาแพงไปค่ะ,2,phyathai-1,Treatment is expensive but good to me.
บริการดีค่ะ หมอพยาบาลพูดจาดีมากเป็นกันเอง รักษาที่นี้มาเป็น10ปีแล้ว ลูกก็คลอดที่นี้ สามีก็รักษาที่นี้ แต่เสียอย่างเดียว ค่ารักษาแพงมากๆ,3,phyathai-1,"Good service, good doctors, nurses speak very friendly. This treatment was 10 years ago. I was born here, The husband was treated here The only disadvantage The treatment was very expensive"
พนักงานเยี่ยมมากพูดเพราะคุณหมอวีรเดชอธิบายละเอียดยิบสุดยอดมากครับประทับใจจริง☺☺,5,phyathai-1,Great staff said because the doctor might describe exhaustively beaching's very impressive indeed ☺☺.
พยาบาลผู้หญิงที่เจาะเลือดมือเบามากค่ะ ไม่รู้สึกเลย คุณหมอทางเดินอาหารและตับ ใจดี ค่ารักษารับได้,5,phyathai-1,Nursing women who do not feel so much blood gently doctor gastrointestinal and liver benign treatment has been.
ใครมีปัญหาเรื่องนอนไม่หลับแนะนำคุณหมอ นิศา แผนกจิตเวชคะ เก่งมากคะให้ 5 ดาว (เฉพาะคุณหมอนิศา),5,phyathai-1,"I have problems with insomnia, doctors recommend Wannisa psychiatric be very good to 5 stars (Only your doctor Wannisa)."
รอนานทุกแผนก แฟ้มประวัติก็นานทั้งๆ ที่โทรนัดล่วงหน้าก่อน รอชำระค่าบริการนานมากๆ สอบถามก็บอกแค่ให้รอ รอ แย่มากค่ะ,1,phyathai-1,The long wait was long in spite of all the departments profile. The first appointment only Paid for it. Inquiry was told just to wait much worse.
รักษาครอบครัวของผมดีมากๆเลยคับครอบครัวผมไว้ใจการดูแลของโรงพยาบาลพยาไท1,5,phyathai-1,"Keeping my family, very good family, I do not trust the care of hospital medicine 1 time."
ดีมากครับ บริการเยี่ยม สุดยอดทุกอย่าง ยกเว้นราคา อิอิ ถ้าราคาถูกกว่านี้สัก 20 % จะดีม๊ากๆ,5,phyathai-1,"Very good service, great prices, great everything, except if it's cheaper than some 20% of this will come soon."
"ประทับใจบุคลากรตั้งแต่ รปภ, จนท.บริการ, พยาบาล และแพทย์ครับ เป็นคนไข้ที่นี่มาตั้งแต่เรียนจบใหม่ๆ ร่วม20 ปีแล้วครับ",5,phyathai-1,"Security personnel from impressive, and service. Service, nurses and doctors have a patient here since graduated more 20 years."
ยินดีบริการค่ะ,5,phyathai-1,Welcome here
คูแลคนไข้ดีครับ,3,phyathai-1,Cool and patient well
ดูแลคนไข้ดีมากค่ะ ญาติเคยไปรักษาตัว คุณหมอและพยาบาลใจดีมาก บริการดีมากค่ะ,5,phyathai-1,Outpatient care is very Relatives had treated Doctors and nurses are very kind Very good service
ดูแลคนไข้และให้ความเอาใจใส่คนไข้เป็นอย่างดีมากๆค่ะ..เยี่ยม..!!!,5,phyathai-1,Outpatient care and attention to patients is very good.. Excellent .. !!!
บริการดีมากคะ ขอบคุณคุณหมอ พยาบาล แม่บ้านขอบคุณทุกคน,5,phyathai-1,"Service very good, thank you, doctor, nurse, maid, thanks everyone."
เจ้าหน้าที่บอกว่าหมอจะมาตอน 09.30 รอจนถึง 10.30 ก็แล้วก็ยังไม่ได้รักษา เจ้าหน้าที่ไม่มีการมาแจ้งอะไรเลย ว่าต้องรออีกนานแค่ไหน พอเดินเข้าไปถามก็บอกแค่ว่าหมอมาแล้วรอก่อน พูดจาน้ำเสียงไม่อยากให้บริการ เป็นอีกครั้งที่มาแล้วไม่ได้รับการปรนนิบัติที่ดีเลย มาหาหมอที่นี่ ดิฉันก็มีเงินจ่ายค่าบริการนะคะ ไม่ได้มารักษาฟรี แล้วถ้าช็อกตายไปต่อหน้าค่อยคิดใช่ไหม ว่าต้องบริการยังไง คงไม่มีใช้บริการที่นี่อีกแล้ว พอแล้ว ถ้าทำได้แค่นี้บอกเลย โรงพยาบาลเดชาดีกว่าเยอะแยะ,1,phyathai-1,"Officials said that doctors will now wait for 9:30 to 10:30, it was still not healing. No official notice anything. How long to wait. I went to the doctor I was told just to wait before. Not flattering tone service Once again, for not being served at all. The doctor here I have paid my fee. Treatment does not come free If you die before the shock I think yes. That service also There's enough to dine here again if I can only say this. Dacha over oodles hospital"
รวดเร็ว เรียบร้อย ใส่ใจกับผู้ป่วยดีค่ะประทับใจกับบริการค่ะ เยี่ยมค่ะ,5,phyathai-1,A complete care to patients with a good impression on my visit here.
บริการดีมากค่ะ พี่พยาบาและคุณหมอให้คำแนะนำดีสุดๆเลยค่ะ,5,phyathai-1,Very good service He said the medication and the doctor advised me extremely well.
คุนหมอ เสริมศัก และ คุนหมอ ที่ทำอัลต้าซาว พร้อมกับพี่พญาบาล ดีมากคะ ไปตรวจที่โรงบาลอื่นมาอัลต้าซาลก็แล้วไม่เจอซี๊ต งมกันอยู่นาน พอมาที่พญาไท1 หมอทำอัลต้าซาลทีเดียว เจอ2ก้อนเลย กำลังจะนัดส่องกล้องที่โรงบาลคะ ^^,5,phyathai-1,"Dr. Kun Kun added potential, and I made a Alta. With my very good serpent Committee to examine the hospital's other al-Salman was not just a series of differences long enough to Phyathai 1. I do not quite Alta LaSalle 2 before going to an appointment at the hospital endoscopy me ^^."
บริการดี รู้สึกอบอุ่น เหมือนอยู่ที่บ้านเลยครับ,5,phyathai-1,"Good service, feel like at home here."
น่าเบื่อหมอบ้างคนเห็นตัวชอบจอดรถเป็นตัวอย่าง(เขาไม่ให้จอดก็จะจอดรถ)ลูกค้าชอบถามคันนั้นทำไมจอดได้(หมอครับ),1,phyathai-1,"Boring, some doctors like to see the park as an example (not to park his car is parked) cars that customers like to ask why the park (my doctor)."
สถานที่นี้ทำให้ทุกข์ของฉันบรรเทาลงไปมาก.,4,phyathai-1,This place makes my suffering alleviated a lot.
เป็นคนไข้ของ รพ. มาตั้งแต่สมัยปู่ย่า ตา ยาย พ่อ แม่ พี่ น้อง จนมาถึงรุ่นลูก มารักษาที่นี่หมด ยอมรับว่าการบริการดี คุณหมอทุกท่านดีมากๆ พยาบาลก็ดีเป็นกันเอง แต่ขอยอมรับว่าเสียความรู้สึกมากๆ เนื่องจาก วันที่ 5 /1/60 มารดาของข้าพเจ้ามีนัดกะแผนก หู แต่คนไข้จะมีนัดล้างไตทุกวันจันกะวันพฤหัส ซึ่งตามตารางนัดตรงวันพฤหัสต้องล้างไต และทางคุณหมอกะพยาบาลได้บอกว่าล้างไตเสร็จแล้วค่อยมาพบคุณหมอก็ได้เนืี่องจากช่วงเช้าคนเยอะ เราจึงไปส่งแม่ที่แผนกไต แล้วเดินมาแจ้งชื่อที่แผนกหู ว่าคนไข้ชื่อ...นาม...,4,phyathai-1,"A patient of a hospital since his grandparents, parents, brothers, sisters, until the coming generations. I maintain that this time Agree that good service You all really good. Pleasant friendly nurse But let's admit that a lot of sense because today 5/1/60 I have my mother's ears, but the department has to match a patient's dialysis every Monday, Thursday. According to schedule an appointment on Thursday requires dialysis. The doctor and the nurse told me that dialysis is done, then the doctor may want Enืie of the morning crowd. We sent her to the front kidney. Then came the name of the front ear. The patient's name ... the name ..."
ดีที่สุดของผู้เชี่ยวชาญ,5,phyathai-1,The best experts
"ได้รับการบริการจากบุคลากรทุกฝ่ายดี คุณหมอดี ให้ความรู้ความเข้าใจดีค่ะ ขอติอย่างแรง กับการซ่อมอาคาร คุณจะทุบ จะรื้อ จะสะกัดกระเบื้อง โป๊กๆโครมๆ ข้างห้องคนไข้ มันถูกมั้ยคะ ดิฉันเป็นไข้หวัดใหญ่ แอดมิท ต้องการหลับพักผ่อน จึงขอกลับบ้านทันที...พยาบาลบอกจะย้ายห้องให้ ถ้าเป็นอีกตึก ราคาจากห้องเดิม 4,800 จะขยับเป็น 5,100บ. อ้าว...นี่ไม่ใช่ความผิดดิฉันนะ สุดท้ายคุณพยาบาลหาห้องที่ไกลสุดในตึกเดียวกันให้ คืนนี้นับว่าโชคดีที่พยาบาลเอาใจใส่คนไข้ แต่คิดว่าผู้บริหารควรลงมาใส่ใจปัญหานี้นะคะ จำได้ว่า เมื่อหลายปีก่อน มาพักรักษาตัว ก็เจอเสียงทุบ เสียงสร้างแบบนี้หล่ะ",3,phyathai-1,"Has been serving the people all the good you have a good understanding of good feedback so hard to repair the building, you will break it down to hew tiles, poker and chrome inside the ward, it was just like I had the flu. Admiral Smith wanted to sleep So let's go home right away ... the nurses told to move to rooms. If a building The price from the original 4,800 to 5,100 on the move. ... I know this is not my fault. Finally, you find a medical room at the far end in the same building. Tonight, fortunately the nurses caring for patients. I think the management should pay attention to this issue, I remember many years ago. The treatment I found a smashed Audio built this for me"
พญาบาลหน้าเคาเตอร์ห้องตรวจเป็นอะไรค่ะ? ไม่นิยมให้ด่าคนไข้รับหลังนะค่ะ,1,phyathai-1,"Paya Governance page counter the examination room, is it? Most patients do not give a damn, get back to me."
ผมใช้บริการของรพ.พญาไท1นี้มาตั้งแต่ผมเกิดบริการดีมากแร่ะคุนหมอแร่ะพยาบาลก้น่ารักทุกคนคับ,5,phyathai-1,"I use the services of the hospital since I was born, Phyathai 1 very good service Carboniferous Carboniferous Kun doctors, nurses, everyone I love it."
คุณหมอ ปริญญา ผ่าตัดเก่งมากค่ะ,5,phyathai-1,Doctor's degree in surgery very well.
บริการดีค่ะ,5,phyathai-1,Good service
มีพนง.ที่ดีและมีใจบริการมากค่ะ เราเป็นลูกค้าไปใช่บริการครั้งแรกไปตรวจสุขภาพ จะขึ้นลิฟท์แต่ขึ้นผิดที่ พี่เข้าก็พาไปขึ้นตัวที่ถูก ทั้งที่พี่เค้าถือของเต็มมือเลย พยาบาลเก็นถือเอกสารตรวจ จะคอยถามตลอดว่าให้ช่วยเหลืออะไรมั้ย ประทับใจค่ะ แต่วันที่ไปคนเยอะไปหน่อย โต๊ะนั่งเลยน้อยไปหน่อยสถานที่รอชั้น3อาคาร2ค่ะ,4,phyathai-1,"With the d. Nice and very service minded. Our client is the first time to a medical examination. To lift up the offense. He went up to the right. It's also a handful of phones yet. Nursing Gen. documents reviewed I will always ask for help, but what impressed me the day I go to work. I sat at the table waiting for a little less, 3rd Floor 2 here."
บริการดี พนักงานพูดดีค่ะ แต่รอนาน ในที่นี้ไม่ใช่รอคิว แต่รอแฟ้ม รอจัดยา รอคิดเงินนานค่ะ ใช้บริการมา 10 กว่าปีแล้ว รู้สึกว่าเดี๋ยวนี้รอนานมากขึ้นค่ะ,3,phyathai-1,"Good service, good staff, but this is not a long wait in the queue wait, but the wait for a pending drug charge for this service for over 10 years and feel that now waiting for more."
แผนกตา รอนานเป็นชาติ ไม่ได้ตรวจสักที การบริหารจัดการคิว จำนวนหมอไม่ได้เรื่อง เป็นโรงพยาบาลเอกชนรึเปล่าเนี่ย เก้าอี้ก็นั่งไม่สบาย ให้รอโครตนาน เซ็ง,1,phyathai-1,Waiting for a national department Do not check anymore Queue Management Many doctors do not matter The hospital's empty. Chair sat uncomfortably waiting for the cattle sick.
ประทับใจตั้งแต่ ครั้งแรกจนทุกวันนี้ พนักงานที่ได้สัมผัส เต็มใจบริการค่ะ ไม่ทำให้คนป่วย กลัวในการมารักษา ค่ะ,5,phyathai-1,since impression First day Employees exposed I willingly Service Do not make people sick Afraid to treat it
สวัสดีครับ,4,phyathai-1,Hello
คุณหมอและพยาบาลแผนกหูรักษาอละพูดจาดีมากค่ะโดยเฉพาะคุณหมอศิริชัยและพยาบาลผู้ช่วยเราประทับใจมาก,4,phyathai-1,"Doctors and nurses in each department Ear is very flattering, especially doctors and nurses who helped us Sirichai impressive."
ดีมากๆเลย,5,phyathai-1,Very good
ค่าหมอ และค่ายาค่อนข้างแพงมาก เจ้าหน้าที่บางคนบริการดี แต่พยาบาลหน้าห้องหมอหน้าบึ้งมาก ไม่น่าใช้บริการเลย,3,phyathai-1,"The doctor and the medicine is very expensive. Some authorities Service But doctors, nurses face a scowl a lot. Not available yet"
บริการดีค่ะถึงค่ารักษาจะแพงไปบ้างค่ะ,5,phyathai-1,Offers good value to be expensive to maintain availability.
อุดฟัน2ซี่ 4000 กว่าบาท 2ซี่อ่ะคะ 4000เอาไปถอนฟันหมดปากที่อื่นได้เลย เข้าใจนะคะว่าเอกชนแต่อุดฟันแล้ว4000 เกินไปมากกกกกกกกก ตลกจังค่ะ,1,phyathai-1,"2 tooth comb over Baht 2 4000 4000 comb like it took to pull a tooth out of your mouth at all. I understand that, but private dental fillings and 4000. Too many sad funny too."
คุณหมอ พยาบาล และแม่บ้าน ทุกๆคนที่นี่มีฝีมือและทำงานด้วยใจรักมากๆ,5,phyathai-1,"Doctors, nurses and housewives, everyone is skilled and willing to work with them."
นัดสแกน 8 โมงเช้ารอหมอเที่ยงเพื่อมาอธิบายผล เพื่อ!,1,phyathai-1,"Scanned 8 am to noon, waiting for the doctor to explain the results!"
เมื่อวานเข้าไปใชบริการแผนกตา รอนานนมากๆ รอพบหมอเกือบชั่วโมงค่ะ จ่ายยาเกินวงเงินประกันบ่อย ยังไงรบกวนให้ถามคนไข้ก่อนด้วยนะคะ เรื่องจ่ายเพิ่มไม่มีปัญหาแต่ว่าถ้าต้แงจ่ายส่วนต่างเราจะใช้ประกันทำไม.. ฝากด้วยนะคะ,2,phyathai-1,"When using the service department waiting for the doctor to wait almost an hour more here. Insurance often prescribed limit I interrupted to ask the patient before them. You have to pay extra if I want to pay the difference, we use the terms why insurance .. I too"
เป็นโรงพยาบาลที่มีพนักงานบริการได้ยอดแย่ และอยากเรียนผู้บริหารโรงพยาบาลว่า ปีๆนึง โรงพยาบาลได้รับรายได้จากการรักษาพนักงานองค์กร จำนวนไม่น้อย ควรมีบริการที่ดี และใส่ใจลูกค้ามากกว่านี้ ห่วยมากคะ ขอบอก,1,phyathai-1,"The hospital staff was terrible. And hospital administrators want to do that for years, the hospital has received income from corporate employees should not be less good service. And more attentive customer told me this is very bad."
ของไห้หัยไวไวนะคับ,4,phyathai-1,Let's not hold it.
ร.พ อาจจะดูดี ผู็บริหานอาจไม่ทำตามนโยบายผู้บริหานหย่อนยานผู้บริการก็ต้องโคดแย่เช้าครึ่งชามเย็นก็เย็นตาโฟแบบไม่กินก็ตาย. แย้แย่นะพี่น้อง,3,phyathai-1,ST. May be good ผoe Gunsmiths may not follow the policy of the British flag for the service was bad coders half a bowl of cold Noodle was not eating and died. Bad bad Brother
ทุกคนที่พบมาพูดจาไพเราะ ยิ้มแย้ม ทำให้คนที่ป่วยหรือญาติที่ไปพบแพทย์. อบอุ่นใจขึ้นค่ะ,5,phyathai-1,Everyone who met eloquence smiling makes people sick relative or a doctor. Warm me up
บริการดีสะดวกรวดเร็วคุณหมอจัยดีทุกๆคนค่ะพยาบาลก้อบริการเยี่ยมค่ะ,5,phyathai-1,"Good service, convenient medical research, good people I'm nursing services, visit here."
บริการดี เร็ว ทันจัย,5,phyathai-1,"Good service, fast pace factors"
พาลูกไปมาบริการดีมากครับ สะดวกรวดเร็วสะอาดด้วยครับ,5,phyathai-1,Take their children to the service is very good. Easy to clean with it
ตรวจสุขภาพรอผลนานมากๆๆๆ,1,phyathai-1,Check up waiting a very long time.
พาแฟนไปรับการรักษาที่นี่ ประทับใจคะบริการดี คุณหมอและทีมงานเก่งคะ,5,phyathai-1,Led fans to get treatment here. Appreciate good service You and your team good at it.
ปีนี้ มาตรวจ ประจำ ปี เครื่องมือแพทย์ ทันสมัย บริการดี ครับ.,4,phyathai-1,This year's annual review of modern medical service good.
รักษาโรคความดันกับแผนกโรคหัวใจที่นี่คุณหมอน่ารกมากคุณพยาบาลเอาใจใส่ดี พนักงานดูแลดีสะดวกรวดเร็ว,5,phyathai-1,Maintain pressure on the cardiology department at the doctor's cluttered very good nursing care. Staff great convenience
เคยเป็นโรงพยาบาลประจำของเราเลยค่ะ ตอนอยู่เมืองไทย เคยผ่าตัดที่นี่ด้วยค่ะ,5,phyathai-1,Former Hospital of us do not. Now living in Thailand Been here too surgery
โรงบาลนี้ดีมากมีหมอเก่งมีเกลี่ยวกับโรคหลอดเลือดสมอง,5,phyathai-1,This is a very good hospital with good doctors equalize on the stroke.
อ.ธิศรา น่ารักมาก สวยก็สวย.....คิดถึงท่านค่ะ ตอนนี้ไม่ได้อยู่ในรั้วพญาไท แล้ว ด้วยภาวะจำเป็นต้องดูแล บุพการี ..จำต้อง ออกจากรั้วพญาไท ผู้ซึ่งให้ความอบอุ่น ให้เงินเดือน ให้ทุกๆอย่าง แต่บางทีก็คว้าไม่ถึง คิดถึงทุกๆๆๆๆคนที่พญาไทค่ะ......ตอนนี้เป็นเกษตรกรเต็มตัวแล้วค่ะ.....อาจารย์,5,phyathai-1,"North. Professor Works very pretty ..... I miss you too. Now, do not fence in Bangkok with conditions necessary to care for their parents.. Must fence off hours. Who gives warmth to pay for everything, but sometimes it's not. I think other people are farmers Phayathai it ...... now ..... then full professor."
ได้เข้ารักษา 28 กย นี้ กระดูกข้อเท้า ใส่เฝือก โดยหมอ อดิเรก ใด้ระบุใบรับรองแพทย์ หาย โดยไม่ระบุวันที่ และพนักงาน ชื่อ ศุภริน หอมทั่ว แผนกกระดูก ไม่น่ารัก ไม่ประทับใจ,1,phyathai-1,"This has admitted 28 Sep ankle splint by Dr. hobby medical status was not identified by name, date, and employees across the department Supachai poured scented bone does not impress cute."
มาบ่อยที่สุดเพราะต้องมารักษาที่นี่ดีค่ะมาตราฐานเยี่ยมดูแลประทับใจมากๆ,4,phyathai-1,The most frequently because of the need to maintain a good standard of excellent care here is very impressive.
ประทับใจตุ้งแต่แรกเลยค่ะ ก่อนถึงวันนัด มีพยาบาลโทรมาเพื่อ confirm วันเวลานัด พอไปถึงรพใ ลงรถก็มีเจ้าหน้าที่มาช่วยดูแล แค่แจ้งว่ามาตรวจอะไรก็มีเจ้าหน้าที่มาพาไปที่แผนกนั้นๆ ถึงแผนกพี่พยาบาลก็ดูแลดีมากๆ ที่นั่งรอตรวจรวมถึงสิ่งอำนวยความสะดวกดีค่ะ ถึงเวลาตรวจ คุณหมอก็ตรวจด้วยความละเอียดถี่ถ้วนค่ะ การเงินและรับยาก็ดีมากๆค่ะ ประทับใจจริงๆค่ะ,5,phyathai-1,"Tung first impression, but it Prior to appointment A Nursing Call to confirm meeting date, time enough to reach hospital officials down there to take care of. Just check out that what the officers were taken to the department itself. The department's medical care was very good. Pending seat includes facilities good time to check with your doctor check it thoroughly. Financial and treated it very much. Really impressed me"
เคยใช้บริการมาหลายแผนก หลายแบบ ทั้ง opd หรือ แอดมิด xray ส่องกล้อง คลอดลูก ดูเด็นอ่อน เตรียมครรภ์คลอดก่อนกำหนด จะดีระดับหนึ่ง. พยาบาลok. หมอเก่งเกือบทุกแผนก ยกเว้นกระดูก ยังรักษาผมไม่หาย แต่ติดนิดเดียวตรงcashier ที่ถ้าจะหาหลายหมอในครั้งเดียว. จะรอจ่ายเงินนานมาก. ส่วน พระกงานโบกรถที่อาคารจอดรถ. ยังสู้สมัยก่อนๆถูกtakeover ไม่ได้. บริการไม่ทั่วถึง. พนักงานเปลจะดีเฉพาะเข็นภายใน รพ ส่วนตอนรับคนไข้ที่รถยังไม่กระตือรือล้นเท่าที่ควร แต่แผนกที่ดีสุดคือแผนกช่องท้องส่วนบนรองลงมาคือแผนกเด็กเล็ก. และไม่ค่อยดีสุดคือ หูคอจมูก. รอนานมาก. หมอประทับใจที่สุดคือ หมอปรีดา กับหมอธิศรา,5,phyathai-1,"Many departments have access to many of the Endoscopic opd or adware Mid xray baby soft look Roddenberry prepare pregnancy miscarriage. Good level. Nursing ok. I do almost every department except for the bone to heal, I do not disappear. But a little match cashier If you find a doctor at once. I will pay for it. The Hitchhiker's Guide to the task of building a parking garage. Before the fight was not a takeover. The service is not universal. Employees stretcher trolley will only be provided within the hospital wards where cars are not motivated enough. But the division is the best division upper abdomen, followed by the department of small children. And it is the best ENT. To wait very long. I was most impressed with the service lightens the doctor explains Professor."
